"team_name,appearances"
"Brazil,23"
"Germany,21"
"Argentina,19"
"Italy,18"
"Mexico,18"
"Spain,17"
"England,17"
"France,17"
"Belgium,15"
"Uruguay,15"
"Serbia,13"
"Sweden,13"
"Switzerland,13"
"Netherlands,12"
"South Korea,12"
"USA,12"
"Paraguay,9"
"Portugal,9"
"Scotland,9"
"Hungary,9"
"Poland,9"
"Chile,10"
"Austria,8"
"Japan,8"
"Australia,7"
"Cameroon,7"
"Colombia,7"
"Costa Rica,7"
"Croatia,7"
"Morocco,7"
"Nigeria,7"
"Romania,7"
"Russia,7"
"Saudi Arabia,7"
"Tunisia,7"
"Czechia,10"
"Denmark,6"
"Algeria,5"
"Ecuador,5"
"Ghana,5"
"Peru,5"
"C¶te d'Ivoire,4"
"Egypt,4"
"Norway,4"
"Senegal,4"
"South Africa,4"
"Bolivia,3"
"Canada,3"
"Greece,3"
"Honduras,3"
"New Zealand,3"
"Northern Ireland,3"
"Republic of Ireland,3"
"T³rkiye,3"
"Bosnia and Herzegovina,2"
"El Salvador,2"
"Haiti,2"
"Iraq,2"
"Jamaica,2"
"Korea Republic,12"
"Panama,2"
"Qatar,2"
"Slovenia,2"
"Wales,2"
"Angola,1"
"China PR,1"
"Cuba,1"
"Iceland,1"
"Israel,1"
"Kuwait,1"
"Slovakia,1"
"Togo,1"
"Trinidad and Tobago,1"
"Ukraine,1"
"United Arab Emirates,1"
"Cabo Verde,1"
"CurańŃo,1"
"Uzbekistan,1"
"IR Iran,7"
"Jordan,1"
